# index arm charge dw23_bin_center wness_bin_center value uncertainty
274 0 0 -0.292500 0.372500 -0.032138 8.621044
275 0 0 -0.292500 0.377500 -0.038315 8.618529
276 0 0 -0.292500 0.382500 -0.044284 8.616241
277 0 0 -0.292500 0.387500 -0.050029 8.614176
278 0 0 -0.292500 0.392500 -0.055536 8.612328
279 0 0 -0.292500 0.397500 -0.060790 8.610688
280 0 0 -0.292500 0.402500 -0.065780 8.609247
281 0 0 -0.292500 0.407500 -0.070493 8.607994
282 0 0 -0.292500 0.412500 -0.074920 8.606916
283 0 0 -0.292500 0.417500 -0.079050 8.606000
284 0 0 -0.292500 0.422500 -0.082875 8.605233
285 0 0 -0.292500 0.427500 -0.086387 8.604601
286 0 0 -0.292500 0.432500 -0.089581 8.604090
287 0 0 -0.292500 0.437500 -0.092450 8.603684
288 0 0 -0.292500 0.442500 -0.094991 8.603371
289 0 0 -0.292500 0.447500 -0.097200 8.603138
290 0 0 -0.292500 0.452500 -0.099074 8.602970
291 0 0 -0.292500 0.457500 -0.100614 8.602856
292 0 0 -0.292500 0.462500 -0.101818 8.602785
293 0 0 -0.292500 0.467500 -0.102689 8.602746
294 0 0 -0.292500 0.472500 -0.103226 8.602731
295 0 0 -0.292500 0.477500 -0.103435 8.602731
296 0 0 -0.292500 0.482500 -0.103318 8.602739
297 0 0 -0.292500 0.487500 -0.102880 8.602750
298 0 0 -0.292500 0.492500 -0.102128 8.602760
299 0 0 -0.292500 0.497500 -0.101067 8.602765
300 0 0 -0.292500 0.502500 -0.099706 8.602765
301 0 0 -0.292500 0.507500 -0.098053 8.602760
302 0 0 -0.292500 0.512500 -0.096116 8.602750
303 0 0 -0.292500 0.517500 -0.093907 8.602739
304 0 0 -0.292500 0.522500 -0.091435 8.602731
305 0 0 -0.292500 0.527500 -0.088711 8.602731
306 0 0 -0.292500 0.532500 -0.085749 8.602746
307 0 0 -0.292500 0.537500 -0.082559 8.602785
308 0 0 -0.292500 0.542500 -0.079157 8.602856
309 0 0 -0.292500 0.547500 -0.075555 8.602970
310 0 0 -0.292500 0.552500 -0.071767 8.603138
311 0 0 -0.292500 0.557500 -0.067807 8.603371
312 0 0 -0.292500 0.562500 -0.063692 8.603684
313 0 0 -0.292500 0.567500 -0.059436 8.604090
314 0 0 -0.292500 0.572500 -0.055055 8.604601
315 0 0 -0.292500 0.577500 -0.050564 8.605233
316 0 0 -0.292500 0.582500 -0.045980 8.606000
317 0 0 -0.292500 0.587500 -0.041318 8.606916
318 0 0 -0.292500 0.592500 -0.036595 8.607994
319 0 0 -0.292500 0.597500 -0.031828 8.609247
320 0 0 -0.292500 0.602500 -0.027032 8.610688
321 0 0 -0.292500 0.607500 -0.022223 8.612328
322 0 0 -0.292500 0.612500 -0.017419 8.614176
323 0 0 -0.292500 0.617500 -0.012634 8.616241
324 0 0 -0.292500 0.622500 -0.007885 8.618529
325 0 0 -0.292500 0.627500 -0.003187 8.621044
326 0 0 -0.292500 0.632500 0.001444 8.623789
327 0 0 -0.292500 0.637500 0.005994 8.626762
328 0 0 -0.292500 0.642500 0.010447 8.629961
329 0 0 -0.292500 0.647500 0.014790 8.633379
330 0 0 -0.292500 0.652500 0.019008 8.637008
331 0 0 -0.292500 0.657500 0.023088 8.640836
332 0 0 -0.292500 0.662500 0.027018 8.644849
333 0 0 -0.292500 0.667500 0.030785 8.649028
334 0 0 -0.292500 0.672500 0.034377 8.653356
335 0 0 -0.292500 0.677500 0.037782 8.657809
336 0 0 -0.292500 0.682500 0.040991 8.662364
337 0 0 -0.292500 0.687500 0.043993 8.666997
338 0 0 -0.292500 0.692500 0.046779 8.671683
339 0 0 -0.292500 0.697500 0.049340 8.676396
340 0 0 -0.292500 0.702500 0.051668 8.681114
341 0 0 -0.292500 0.707500 0.053756 8.685815
