index arm charge wness_bin_center dw23_bin_center entries
173 0 0 0.110000 0.170000 5
174 0 0 0.110000 0.190000 2
175 0 0 0.110000 0.210000 2
176 0 0 0.110000 0.230000 1
177 0 0 0.110000 0.250000 3
178 0 0 0.110000 0.270000 0
179 0 0 0.110000 0.290000 1
180 0 0 0.130000 -0.290000 1
181 0 0 0.130000 -0.270000 1
182 0 0 0.130000 -0.250000 4
183 0 0 0.130000 -0.230000 4
184 0 0 0.130000 -0.210000 5
185 0 0 0.130000 -0.190000 8
186 0 0 0.130000 -0.170000 5
187 0 0 0.130000 -0.150000 10
188 0 0 0.130000 -0.130000 14
189 0 0 0.130000 -0.110000 17
190 0 0 0.130000 -0.090000 49
191 0 0 0.130000 -0.070000 140
192 0 0 0.130000 -0.050000 1034
193 0 0 0.130000 -0.030000 12470
194 0 0 0.130000 -0.010000 14646
195 0 0 0.130000 0.010000 2007
196 0 0 0.130000 0.030000 187
197 0 0 0.130000 0.050000 67
198 0 0 0.130000 0.070000 31
199 0 0 0.130000 0.090000 17
200 0 0 0.130000 0.110000 13
201 0 0 0.130000 0.130000 14
202 0 0 0.130000 0.150000 7
203 0 0 0.130000 0.170000 6
204 0 0 0.130000 0.190000 2
205 0 0 0.130000 0.210000 2
206 0 0 0.130000 0.230000 1
207 0 0 0.130000 0.250000 0
208 0 0 0.130000 0.270000 3
209 0 0 0.130000 0.290000 0
210 0 0 0.150000 -0.290000 0
211 0 0 0.150000 -0.270000 2
212 0 0 0.150000 -0.250000 1
213 0 0 0.150000 -0.230000 1
214 0 0 0.150000 -0.210000 3
215 0 0 0.150000 -0.190000 3
216 0 0 0.150000 -0.170000 8
217 0 0 0.150000 -0.150000 10
218 0 0 0.150000 -0.130000 14
219 0 0 0.150000 -0.110000 22
220 0 0 0.150000 -0.090000 40
221 0 0 0.150000 -0.070000 116
222 0 0 0.150000 -0.050000 950
223 0 0 0.150000 -0.030000 11486
224 0 0 0.150000 -0.010000 13466
225 0 0 0.150000 0.010000 1788
226 0 0 0.150000 0.030000 167
227 0 0 0.150000 0.050000 51
228 0 0 0.150000 0.070000 35
229 0 0 0.150000 0.090000 11
230 0 0 0.150000 0.110000 12
231 0 0 0.150000 0.130000 5
232 0 0 0.150000 0.150000 1
233 0 0 0.150000 0.170000 4
234 0 0 0.150000 0.190000 4
235 0 0 0.150000 0.210000 1
236 0 0 0.150000 0.230000 0
237 0 0 0.150000 0.250000 1
238 0 0 0.150000 0.270000 1
239 0 0 0.150000 0.290000 0
240 0 0 0.170000 -0.290000 1
241 0 0 0.170000 -0.270000 1
