index arm charge wness_bin_center dw23_bin_center entries
69 0 0 0.050000 -0.110000 49
70 0 0 0.050000 -0.090000 86
71 0 0 0.050000 -0.070000 145
72 0 0 0.050000 -0.050000 185
73 0 0 0.050000 -0.030000 185
74 0 0 0.050000 -0.010000 156
75 0 0 0.050000 0.010000 135
76 0 0 0.050000 0.030000 142
77 0 0 0.050000 0.050000 89
78 0 0 0.050000 0.070000 54
79 0 0 0.050000 0.090000 40
80 0 0 0.050000 0.110000 30
81 0 0 0.050000 0.130000 16
82 0 0 0.050000 0.150000 15
83 0 0 0.050000 0.170000 13
84 0 0 0.050000 0.190000 5
85 0 0 0.050000 0.210000 3
86 0 0 0.050000 0.230000 2
87 0 0 0.050000 0.250000 0
88 0 0 0.050000 0.270000 0
89 0 0 0.050000 0.290000 0
90 0 0 0.070000 -0.290000 2
91 0 0 0.070000 -0.270000 0
92 0 0 0.070000 -0.250000 3
93 0 0 0.070000 -0.230000 3
94 0 0 0.070000 -0.210000 6
95 0 0 0.070000 -0.190000 13
96 0 0 0.070000 -0.170000 11
97 0 0 0.070000 -0.150000 21
98 0 0 0.070000 -0.130000 27
99 0 0 0.070000 -0.110000 37
100 0 0 0.070000 -0.090000 40
101 0 0 0.070000 -0.070000 101
102 0 0 0.070000 -0.050000 136
103 0 0 0.070000 -0.030000 146
104 0 0 0.070000 -0.010000 100
105 0 0 0.070000 0.010000 107
106 0 0 0.070000 0.030000 94
107 0 0 0.070000 0.050000 56
108 0 0 0.070000 0.070000 49
109 0 0 0.070000 0.090000 28
110 0 0 0.070000 0.110000 19
111 0 0 0.070000 0.130000 7
112 0 0 0.070000 0.150000 8
113 0 0 0.070000 0.170000 5
114 0 0 0.070000 0.190000 4
115 0 0 0.070000 0.210000 4
116 0 0 0.070000 0.230000 2
117 0 0 0.070000 0.250000 1
118 0 0 0.070000 0.270000 3
119 0 0 0.070000 0.290000 2
120 0 0 0.090000 -0.290000 0
121 0 0 0.090000 -0.270000 0
122 0 0 0.090000 -0.250000 2
123 0 0 0.090000 -0.230000 1
124 0 0 0.090000 -0.210000 2
125 0 0 0.090000 -0.190000 3
126 0 0 0.090000 -0.170000 5
127 0 0 0.090000 -0.150000 10
128 0 0 0.090000 -0.130000 13
129 0 0 0.090000 -0.110000 35
130 0 0 0.090000 -0.090000 45
131 0 0 0.090000 -0.070000 84
132 0 0 0.090000 -0.050000 113
133 0 0 0.090000 -0.030000 107
134 0 0 0.090000 -0.010000 94
135 0 0 0.090000 0.010000 62
136 0 0 0.090000 0.030000 71
137 0 0 0.090000 0.050000 49
138 0 0 0.090000 0.070000 33
